,EmpID,Position,DOB,Sex,Department,ManagerName
57,058,Data Analyst,8/26/1986,M ,IT/IS,Dougall Eric
58,059,Production Technician I,4/10/1987,F,Production,Corleone Michael
59,060,Sr. Network Engineer,9/9/1965,M ,IT/IS,Dougall Eric
60,061,Sales Manager,4/19/1990,F,Sales,Daneault Lynn
61,062,Sr. Network Engineer,1/18/1952,F,IT/IS,Dougall Eric
62,063,Production Technician I,11/5/1978,F,Production,Corleone Michael
63,064,Production Technician II,9/14/1979,M ,Production,Corleone Michael
64,065,Production Technician I,4/15/1988,M ,Production,Corleone Michael
65,066,Production Technician I,10/31/1977,M ,Production,Corleone Michael
66,067,Software Engineer,7/5/1979,F,Software Engineering,Cady Max 
67,068,Salesperson,11/2/1975,M ,Sales,Daneault Lynn
68,069,Production Technician II,2/25/1951,F,Production,Corleone Michael
69,070,Production Technician I,4/19/1967,M ,Production,Corleone Michael
70,071,BI Developer,9/4/1983,M ,IT/IS,Dougall Eric
71,072,Production Technician I,11/15/1982,M ,Production,Corleone Michael
72,073,Salesperson,5/14/1987,F,Sales,Daneault Lynn
73,074,Production Technician I,12/2/1978,F,Production,Corleone Michael
74,075,Production Technician I,10/7/1986,F,Production,Corleone Michael
75,076,IT Support,7/18/1988,F,IT/IS,Dougall Eric
76,077,IT Manager,7/9/1970,M ,IT/IS,Dougall Eric
77,078,Salesperson,11/8/1988,F,Sales,Daneault Lynn
78,079,Production Manager,11/28/1973,F,Production,Corleone Michael
79,080,Production Technician I,9/23/1973,F,Production,Corleone Michael
80,081,Production Technician I,9/5/1991,F,Production,Corleone Michael
81,082,Production Technician I,5/31/1974,M ,Production,Corleone Michael
82,083,Production Technician I,8/25/1978,M ,Production,Corleone Michael
83,084,Production Technician II,8/25/1989,F,Production,Corleone Michael
84,085,Production Technician I,9/2/1983,M ,Production,Corleone Michael
85,086,Production Technician I,5/6/1989,F,Production,Corleone Michael
86,087,Software Engineer,5/15/1987,F,Software Engineering,Cady Max 
87,088,Production Technician II,9/22/1978,F,Production,Corleone Michael
88,089,Production Technician II,9/27/1987,F,Production,Corleone Michael
89,090,Production Technician I,4/14/1955,F,Production,Corleone Michael
90,091,Production Technician I,10/18/1989,M ,Production,Corleone Michael
91,092,Network Engineer,6/18/1987,M ,IT/IS,Dougall Eric
92,093,Production Technician I,3/16/1981,F,Production,Corleone Michael
93,094,Production Technician II,10/1/1981,M ,Production,Corleone Michael
94,095,Production Technician II,11/8/1983,F,Production,Corleone Michael
95,096,Salesperson,7/7/1975,M ,Sales,Daneault Lynn
96,097,IT Director,7/5/1980,M ,IT/IS,Dougall Eric
97,098,Sr. Accountant,4/16/1979,F,Admin Offices,Boutwell Bonalyn
98,099,Accountant I,8/28/1963,M ,Admin Offices,Boutwell Bonalyn
99,100,IT Support,7/6/1968,F,IT/IS,Dougall Eric
